   ------------------------------------------------------------------
  | Welcome to ROOT 6.36.000                       https://root.cern |
  | (c) 1995-2025, The ROOT Team; conception: R. Brun, F. Rademakers |
  | Built for linuxx8664gcc on Jul 08 2025, 08:13:40                 |
  | From tags/6-36-000@6-36-000                                      |
  | With c++ (Ubuntu 11.4.0-1ubuntu1~22.04) 11.4.0                   |
  | Try '.help'/'.?', '.demo', '.license', '.credits', '.quit'/'.q'  |
   ------------------------------------------------------------------


Processing EPOS_finalCodeQA.cxx...
Total events = 7974900
First pass: computing FT0...
Second pass: physics observables...
Event 386: eposID=231, pt=0.975047, y=-0.144246, ist=3, ity=31 ior=312, jor=-1
Event 386: eposID=231, pt=0.500722, y=-0.29573, ist=3, ity=60 ior=-1, jor=-1
Event 386: eposID=231, pt=0.975047, y=-0.140777, ist=6, ity=31 ior=314, jor=-1
Event 386: eposID=231, pt=0.500722, y=-0.293471, ist=6, ity=60 ior=548, jor=-1
Event 387: eposID=231, pt=0.0998075, y=0.122987, ist=7, ity=30 ior=320, jor=-1
Event 388: eposID=231, pt=0.0863823, y=-0.219416, ist=7, ity=30 ior=227, jor=-1
Event 388: eposID=231, pt=0.350153, y=0.192162, ist=7, ity=31 ior=334, jor=-1
Event 389: eposID=231, pt=0.345507, y=-0.152247, ist=7, ity=31 ior=459, jor=-1
Event 390: eposID=231, pt=0.0786453, y=-0.239387, ist=7, ity=30 ior=118, jor=-1
Event 391: eposID=231, pt=0.0959679, y=0.0542992, ist=7, ity=31 ior=132, jor=-1
Event 393: eposID=231, pt=0.0496677, y=-0.246755, ist=7, ity=30 ior=66, jor=-1
Event 395: eposID=231, pt=0.579658, y=0.46785, ist=7, ity=31 ior=309, jor=-1
Event 396: eposID=231, pt=0.224838, y=0.236935, ist=7, ity=30 ior=208, jor=-1
Event 396: eposID=231, pt=0.188265, y=-0.465968, ist=7, ity=30 ior=463, jor=-1
Event 397: eposID=231, pt=0.466056, y=0.32165, ist=7, ity=31 ior=455, jor=-1
Event 407: eposID=231, pt=1.49758, y=0.428575, ist=3, ity=60 ior=-1, jor=-1
Event 407: eposID=231, pt=1.49758, y=0.428575, ist=6, ity=60 ior=150, jor=-1
Event 409: eposID=231, pt=0.464771, y=-0.0923267, ist=7, ity=31 ior=104, jor=-1
Event 420: eposID=231, pt=0.502097, y=-0.384005, ist=7, ity=31 ior=148, jor=-1
Event 420: eposID=231, pt=0.465792, y=-0.445174, ist=7, ity=31 ior=180, jor=-1
Event 420: eposID=231, pt=1.05703, y=0.057126, ist=7, ity=31 ior=180, jor=-1
Event 420: eposID=231, pt=0.43721, y=0.180176, ist=7, ity=31 ior=180, jor=-1
Event 421: eposID=231, pt=0.492529, y=-0.0336546, ist=7, ity=31 ior=149, jor=-1
